1;Alchemille;10 tiges;14.4;alchemille.jpg;"L’alchemille est appréciée pour son joli feuillage et ses petites fleurs vaporeuses.
Très naturelle, l'alchemille apportera un petit côté rustique et sauvage à vos compositions florales et bouquets de fleurs.

Idées d’association 
L’alchemille se marie bien avec la rose avalanche, l'hortensia, les roses branchues, le lysianthus par exemple…

Description du produit 
- Vendu par botte de 10 tiges
- Hauteur : environ 30 cm";45
2;Alstroemeria;10 tiges;10.9;alstroemeria-rose.jpg;"La fleur d'alstroemeria, ou lys des Incas, est une fleur très résistante qui a une excellente durée de vie en vase (jusqu'à deux semaines!).
Les fleurs de l'astroemeria s'épanouissent en délicates petites trompettes, laissant apparaître un coeur souvent plus clair que ses pétales.

Cette fleur existe en blanc, rouge, rose, violet et jaune.

Idées d'associations
L'alstroemeria se marie parfaitement avec la rose, l'alvéolé et elle est également très jolie en bouquet ""mono-fleur"".

Description du produit 
- Taille : de 50 à 60 cm
- Conditionnée en botte de 10 tiges";23
3;Alvéolé;5 tiges;9.2;alveole-rose.jpg;"L'alvéolé est une fleur rustique qui a la particularité d’avoir une excellente tenue en vase. En plus, l'alvéolé est très agréable à travailler!
Un grand classique de la fleur coupée très souvent utilisée pour la confection de bouquets ou compositions florales.

Cette fleur est disponible en blanc, rouge, jaune, violet et rose.

Idées d’association 
L'alvéolé peut s'accompagner de toutes les variétés de fleurs en toute saison comme le gypsophile, la rose ou la rose branchue par exemple.

Description du produit 
- Vendu par botte de 5 tiges
- Hauteur: environ 60/70cm";23
4;Amaryllis;1 tige;5.6;amaryllis-blanc.jpg;"La fleur d’amaryllis est une fleur majestueuse et graphique qui s’épanouie à l'extrémité d'une tige nue et charnue.



Sa floraison dure généralement entre deux et trois semaines en vase ce qui explique l’engouement pour cette magnifique fleur ces derniers temps.



Idées d’association

L’amaryllis blanc s’accompagne très bien de grands feuillages comme le ruscus, le flexigrass ou la prêle. Elle se marie aussi parfaitement avec de jolies roses.

Description du produit

L'amaryllis est vendu à la pièce
Taille : 50 cm environ";2
5;Anémone;10 tiges;9.9;anemone.jpg;"L'Anémone est une fleur d’hiver délicate et pleine de romantisme.
L'anémone se décline dans de nombreuses couleurs : bleue, rouge, blanche ou fushia.

Idées d'association
Les fleurs d'anémones sont très jolies en bouquet rond ou en vase boule, seules ou à assortir avec des roses, des renoncules ou encore du freesia...

Description du produit ""Anémone""
- disponible d'octobre à mars
- taille : environ 30cm
- vendue par botte de 10 tiges d'anémones
- couleur : blanche

Nos conseils pour conserver vos anémones
Dès réception de votre commande, recouper les tiges des anémones en biais sur quelques centimètres et placez les anémones dans un vase propre avec de l'eau fraîche.";2
6;Arum;5 tiges;19.9;arum.jpg;"L’arum est une fleur élégante qui renferme en son cœur un délicat épi jaune.
Très apprécié pour fleurir les cérémonies, il apportera une note moderne à vos compositions florales.

Idée d’association

L’arum se marie très bien avec du dianthus, des anthurims, du calla… Mais il se suffit très bien à lui-même !

Description du produit
- Vendu par botte de 5 tiges 
- Hauteur : environ 50/60 cm";2
7;Astilbe;10 tiges;19.9;astilbe-rose.jpg;"L’astible rose est une superbe fleur vaporeuse et douce très appréciée. 
Composée de longs épis plumeux, l'astilbe vous permettra d’apporter une touche de légèreté à vos compositions florales.

Idées d’association
L’astible s’associe bien avec de la rose ou du lysianthus par exemple.

Description du produit
- Vendu par botte de 10 tiges
- Disponible en rose
- Hauteur : environ 40 cm

Nos conseils de fleuriste
Dès réception de votre commande, recoupez les tiges de vos fleurs en biais et mettez-les dans de l’eau fraîche pour prolonger leur durée de vie en vase.";23
8;Branche de coton;5 boules;4;branche-de-coton-5-boules.jpg;"La branche de coton 5 boules est un produit naturel d’une hauteur d’environ 50-60 cm.
Le coton est un produit idéal pour agrémenter vos compositions ou simplement disposé dans un vase pour un résultat à la fois tendance et naturel.

Idée cadeau !
Pour fêter vos noces de coton ou pour envoyer un clin d’œil à vos amis qui fêtent leur un an de mariage, pensez à la branche de coton !

Description du produit 
- La branche de coton est séchée.
- Vendu à la branche (environ 100 grammes)";2
9;Branche de coton;7-8 boules;4.9;branche-de-coton-8-boules.jpg;"La branche de fleur de coton 8 boules est un produit 100% naturel d’une hauteur d’environ 60 cm.
La branche de coton naturelle est un véritable bestseller de la boutique France Fleurs! Elle peut comporter entre 7 et 8 boules de coton.

Envie d'envoyer un clin d'œil à vos amis pour leurs noces de coton ou tout simplement pour apporter une touche naturelle et boisée à vos compositions florales ou à votre intérieur : le coton est fait pour vous! 

Idée cadeau !
Pour fêter vos noces de coton ou pour envoyer un clin d’œil à vos amis qui fêtent leur un an de mariage, pensez à cette fleur symbolique!

Description du produit 
- Vendu à la branche (environ 100 grammes)
- Hauteur : environ 60cm";2
10;Calla;10 tiges;20.9;calla-blanc.jpg;"Le calla est une fleur fine toute en élégance et pureté.

Le calla permet toujours de belles réalisations, que ce soit en bouquets de mariée, compositions florales ou bouquets mono-fleur…

Ses tiges souples et fines vous permettront de façonner véritablement la fleur et lui donner la forme que vous souhaitez.



Idées d'associations:

Il se marie très bien avec les fleurs de curcuma, les roses...


Description du produit :

- Vendu par botte de 10 tiges

- Hauteur de tige : environ 40 cm

- Couleur : blanc

- Disponible toute l’année



Nos conseils de fleuristes :

Dès réception de votre commande, recoupez les tiges de vos fleurs en biseaux et mettez les dans de l’eau très fraîche avec le sachet de conservateur pour prolonger leur durée de vie en vase.";2
11;Calla;10 tiges;24.9;calla-rouge.jpg;"Le calla rouge est une fleur élancée à l'allure très moderne.

Le calla rouge permet toujours de belles réalisations, que ce soit en bouquets de mariée, compositions florales ou bouquets mono-fleur…
Ses tiges souples vous permettront de façonner véritablement la fleur et lui donner la forme que vous souhaitez.

Le calla est disponible en blanc, rouge, rose ou orange.

PS : Le calla est plus petit et flexible que son cousin l’arum. 

Idées d'associations
Il se marie très bien avec les fleurs de curcuma, les roses...

Description du produit 
- Vendu par botte de 10 tiges
- Hauteur: environ 50-60cm";3
12;Chardon;5 tiges;8.9;chardon-bleu.jpg;"Le chardon bien qu’un peu malmené ces dernières années est une fleur magnifique à la fois rustique et moderne qui mérite de retrouver toutes ses lettres de noblesse !

Idées d'association
Le chardon se marie très bien avec la rose branchue ou le lysianthus par exemple. Sa particularité: vous pourrez la faire sécher ! 

Description du produit
- Disponible toute l’année
- Vendu par botte de 5 tiges
- Hauteur: environ 40cm";4
13;Cartamus;5 tiges;8.3;carthamus.jpg;"Le carthamus ou carthame est une espèce de chardon très originale.

En effet, une fois épanoui, les fleurs de carthamus semblent comme ébouriffées.

Sa magnifique couleur orangée apportera un peu de peps à vos bouquets!

Son plus? Une excellente tenue en vase!



Description des fleurs de carthamus

- Vendues par botte de 5 tiges

- Hauteur des tiges : entre 50 et 70 cm";5
14;Craspédia;10 tiges;11.9;craspedia.jpg;"Le craspédia ou craspédie est une fleur originaire d'Australie et de Nouvelle Zélande. Elle est composée de petits pompons jaunes bien ronds, juchés sur une longue tige dépourvue de feuilles.

Son petit côté vintage en fait une fleur très tendance ! De plus, vous pourrez très facilement la faire sécher, elle conservera sa couleur.

Description du produit
- Vendu par botte de 10 tiges de craspédia
- Hauteur : environ 50/60 cm / diamètre : environ 2 cm";5
15;Dianthus;10 tiges;13.9;dianthus.jpg;"Le dianthus green trick est une fleur de la famille des œillets à la forme très surprenante. Tout en rondeur, il apportera une touche « nature » à vos compositions florales ou à vos bouquets.

Idées d'association
Le dianthus green trick est très joli en bouquet « mono fleur » ou accompagné de roses, de freesias ou de lysianthus par exemple.

Description du produit 
- Vendu par botte de 10 tiges
- Hauteur : 40-50 cm";45
